canonical_bioactive_name,meaningful_threshold_amount,meaningful_threshold_unit,meaningful_threshold_basis,meaningful_threshold_source,meaningful_review_status,supplement_threshold_amount,supplement_threshold_unit,supplement_threshold_basis,supplement_threshold_source,supplement_review_status,trace_definition,meaningful_definition,supplement_definition,notes
Alcohol,1,g/serving,low-level alcohol exposure threshold for caution routing; current guidance emphasizes less alcohol is better and a US standard drink is 14 g alcohol,"CDC Alcohol Use and Your Health, https://www.cdc.gov/alcohol/about-alcohol-use/index.html; NIAAA standard drink definition, https://www.niaaa.nih.gov/alcohols-effects-health/alcohol-drinking-patterns; Dietary Guidelines for Americans 2025-2030 PDF, https://cdn.realfood.gov/DGA.pdf",meaningful_dose_reviewed_caution,14,g/serving,caution threshold; one standard-drink context for higher alcohol effects,"Dietary Guidelines for Americans 2025-2030 current guidance via DietaryGuidelines.gov / RealFood.gov and HHS release, https://www.dietaryguidelines.gov/ and https://realfood.gov/; dose-band thresholds are draft Sipz review thresholds",draft_caution_context,"< 1 g/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1 g/serving and below 14 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 14 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Meaningful threshold is caution-only, not a beneficial target; 1 g separates trace/background alcohol from intentional or material recipe alcohol while 14 g remains standard-drink territory."
Alpha Linolenic Acid,0.16,g ALA/serving,10% of the 1.6 g/day adult male ALA adequate-intake reference used for omega-3 labeling context,"NIH ODS Omega-3 Fatty Acids fact sheet, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; FDA omega-3 nutrient content claims final rule, https://www.federalregister.gov/documents/2014/04/28/2014-09492/food-labeling-nutrient-content-claims-alpha-linolenic-acid-eicosapentaenoic-acid-and-docosahexaenoic",meaningful_dose_reviewed,1000,mg ALA/serving,"common plant omega-3 supplement territory; use active ALA mass, not flaxseed-oil or seed mass","NIH ODS Omega-3 Fatty Acids fact sheet, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; FDA omega-3 nutrient content claims final rule, https://www.federalregister.gov/documents/2014/04/28/2014-09492/food-labeling-nutrient-content-claims-alpha-linolenic-acid-eicosapentaenoic-acid-and-docosahexaenoic",supplement_dose_reviewed,"< 0.16 g ALA/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.16 g ALA/serving and below 1000 mg ALA/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 1000 mg ALA/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Supplement threshold set to 1000 mg active ALA. Do not treat 1000 mg flaxseed oil as 1000 mg ALA; oil products must be converted by ALA content. Applies to ALA specifically, not EPA/DHA."
Arachidonic Acid,80,mg arachidonic acid/serving,lowest human RCT dose identified for a measurable oral ARA effect on blood fatty-acid status; specific health-outcome benefits remain limited,"ARA systematic review of human RCTs, https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/systematic-review-of-the-effects-of-increasing-arachidonic-acid-intake-on-pufa-status-metabolism-and-healthrelated-outcomes-in-humans/6A0167CBF8EC148B4855C25D002E4AC4; adult ARA intake review, https://pmc.ncbi.nlm.nih.gov/articles/PMC6469145/; vegetarian-focused ARA review, https://link.springer.com/article/10.1186/s12944-025-02645-z",meaningful_dose_reviewed,,,Not a typical consumer supplement target for this workflow; do not route supplement-level effects without ingredient- or product-specific arachidonic-acid evidence.,,not_typical_supplement_reviewed,"< 80 mg arachidonic acid/serving; do not surface direct health-effect claims, only optional background presence language.",>= 80 mg arachidonic acid/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,Not applicable for supplement-level routing unless future evidence supports a specific supplemental form and dose.,"Marked not typical for supplement routing. If arachidonic-acid bodybuilding or clinical supplement evidence is later added, create an effect-specific threshold in mg arachidonic acid/serving and review safety context."
Behenic Acid,1,g behenic acid/serving,specific saturated-fatty-acid caution router at a 1 g serving-level saturated-fat contribution; human behenic-acid data show cholesterol raising under controlled-diet conditions but do not establish a lower molecule-specific threshold,"Behenic acid human cholesterol study, https://www.sciencedirect.com/science/article/pii/S0002916523064456; WHO saturated fatty acid guideline PDF, https://iris.who.int/bitstreams/463fa93e-6c17-4e5b-a4d7-928354ea34c3/download; FDA saturated fat label context, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_SaturatedFat_October2021.pdf",meaningful_dose_reviewed_caution,,,Not a typical direct supplement target; route as dietary fatty-acid/caution context only when meaningful food-level dose and evidence support it.,,not_typical_supplement_reviewed,"< 1 g behenic acid/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1 g behenic acid/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,Not applicable for supplement-level routing unless future evidence supports a specific supplemental form and dose.,Marked not typical for supplement routing. Do not infer supplement-level benefits for behenic acid from general fat or fatty-acid evidence.
Beta Carotene,1080,ug beta-carotene/serving,"dietary beta-carotene equivalent of 90 ug RAE, approximately 10% of the 900 ug RAE vitamin A Daily Value","NIH ODS Vitamin A fact sheet with carotenoid RAE conversions, https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,15000,ug beta-carotene/serving,vitamin A context plus high-dose beta-carotene trial territory,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",needs_review,"< 1080 ug beta-carotene/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1080 ug beta-carotene/serving and below 15000 ug beta-carotene/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 15000 ug beta-carotene/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Changed from RAE-context units to beta-carotene mass to match the nutriment. 12 ug dietary beta-carotene approximates 1 ug RAE; high-dose supplemental beta-carotene has separate caution context.
Beta Glucan,0.75,g oat/barley beta-glucan/serving,FDA/Health Canada per-serving health-claim contribution toward about 3 g/day oat or barley beta-glucan for cholesterol/CHD context,"21 CFR 101.81 soluble fiber health claim, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-E/section-101.81; Health Canada oat beta-glucan claim assessment, https://www.canada.ca/en/health-canada/services/food-nutrition/food-labelling/health-claims/assessments/products-blood-cholesterol-lowering-summary-assessment-health-claim-about-products-blood-cholesterol-lowering.html; EFSA oat beta-glucan opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1885",meaningful_dose_reviewed,1,g oat/barley beta-glucan/serving,lower supplement-like serving threshold; cholesterol health-claim evidence usually targets about 3 g/day oat or barley beta-glucan,"21 CFR 101.81 soluble fiber health claim, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-E/section-101.81; Health Canada oat beta-glucan claim assessment, https://www.canada.ca/en/health-canada/services/food-nutrition/food-labelling/health-claims/assessments/products-blood-cholesterol-lowering-summary-assessment-health-claim-about-products-blood-cholesterol-lowering.html; EFSA oat beta-glucan opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1885",supplement_dose_reviewed,"< 0.75 g oat/barley beta-glucan/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.75 g oat/barley beta-glucan/serving and below 1 g oat/barley beta-glucan/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 1 g oat/barley beta-glucan/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Use 1 g as supplement-like routing, not as a full cholesterol-claim dose. Cholesterol/CHD effects should usually require about 3 g/day and eligible oat/barley beta-glucan context."
Biotin,3,ug/serving,10% of 30 ug/day Daily Value and adult adequate-intake context,"NIH ODS Biotin fact sheet, https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,300,ug/serving,10% DV for meaningful; common high-dose supplement territory for supplement effects,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_from_reference_intake,"< 3 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 3 ug/serving and below 300 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 300 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level adequacy threshold; do not use to support hair/nail claims unless evidence is deficiency-specific.
Caffeine,32,mg caffeine/serving,lowest consistent low-dose oral caffeine range identified for vigilance/alertness effects in human performance reviews; formal EFSA label-claim threshold remains higher at 75 mg,"caffeine cognitive-performance review, https://www.sciencedirect.com/science/article/pii/S0149763416300690; EFSA caffeine alertness opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3574; FDA caffeine consumer update, https://www.fda.gov/consumers/consumer-updates/spilling-beans-how-much-caffeine-too-much",meaningful_dose_reviewed_caution,200,mg/serving,common perceptible caffeine dose; high single-dose caffeine context,"FDA Consumer Update: Spilling the Beans: How Much Caffeine is Too Much?, https://www.fda.gov/consumers/consumer-updates/spilling-beans-how-much-caffeine-too-much; dose-band thresholds are draft Sipz review thresholds",draft_caution_context,"< 32 mg caffeine/serving; do not surface direct health-effect claims, only optional background presence language.",>= 32 mg caffeine/serving and below 200 mg/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 200 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 40 mg for the stricter minimum-effect review. A human performance review reports vigilance benefits at small doses around 32 mg; EFSA health-claim substantiation for alertness remains 75 mg per serving, so stronger alertness claims should use that higher context."
Calcium,130,mg/serving,10% of 1300 mg/day Daily Value; food-label significance and bone-health adequacy context,"NIH ODS Calcium fact sheet, https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,500,mg/serving,10% DV for meaningful; common supplemental calcium dose,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_from_reference_intake,"< 130 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 130 mg/serving and below 500 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 500 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Retains 10% DV as food-level meaningful threshold; supplement-dose calcium remains a separate higher threshold.
Carbohydrates,15,g total carbohydrate/serving,one carbohydrate-counting serving with practical glycemic/energy relevance; total carbohydrate is not inherently beneficial,"CDC carbohydrate counting guidance, https://www.cdc.gov/diabetes/healthy-eating/carb-counting-manage-blood-sugar.html; FDA total carbohydrate Daily Value, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_TotalCarbohydrate_October2021.pdf; FDA Nutrition Facts label percent-DV guidance, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label",meaningful_dose_reviewed,30,g/serving,macronutrient energy contribution; sports-carbohydrate dose context,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_macronutrient_context,"< 15 g total carbohydrate/serving; do not surface direct health-effect claims, only optional background presence language.",>= 15 g total carbohydrate/serving and below 30 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 30 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Raised from 5 g because 5 g is low/background for total carbohydrate; 15 g is a practical per-serving threshold for glycemic/energy routing.
